pr_url,pr_number,pr_title,created_at,closed_at,modified_keys,classification_types
https://github.com/ros/rosdistro/pull/46675,46675,add gtk4/adw dependencies,2025-06-27T22:42:16Z,2025-08-14T22:46:25Z,"adwaita-icon-theme, gtk4, libadwaita-dev, libgirepository-dev",A.1
https://github.com/ros/rosdistro/pull/46701,46701,add librocksdb-dev in 'rosdep/base.yml',2025-07-01T09:42:23Z,2025-07-23T02:10:23Z,librocksdb-dev,A.1
https://github.com/ros/rosdistro/pull/46723,46723,Add 'python3-toml' rule for RHEL,2025-07-01T15:56:16Z,2025-07-04T05:29:46Z,python3-toml,A.2
https://github.com/ros/rosdistro/pull/46764,46764,Add ifm3dpy to rosdep database,2025-07-03T18:00:24Z,2025-07-22T13:28:11Z,python3-ifm3dpy-pip,A.1
https://github.com/ros/rosdistro/pull/46833,46833,Add `reduct-py` pip index,2025-07-09T10:30:05Z,2025-07-30T19:52:57Z,python3-reduct-py-pip,A.1
https://github.com/ros/rosdistro/pull/46855,46855,Add rowan pip,2025-07-11T09:27:54Z,2025-07-29T15:24:34Z,python3-rowan-pip,A.1
https://github.com/ros/rosdistro/pull/46859,46859,Add mujoco,2025-07-11T17:48:29Z,2025-07-24T04:50:46Z,python3-mujoco-pip,A.1
https://github.com/ros/rosdistro/pull/46860,46860,Add python3-obj2mjcf-pip,2025-07-11T18:12:41Z,2025-07-23T02:12:15Z,python3-obj2mjcf-pip,A.1
https://github.com/ros/rosdistro/pull/46866,46866,"add rsyslog to rhel, gentoo, alpine, macports and opensuse.",2025-07-12T04:50:43Z,2025-07-24T18:16:34Z,rsyslog,A.2
https://github.com/ros/rosdistro/pull/46970,46970,add libflac-dev (again),2025-07-20T03:37:20Z,2025-08-14T22:36:42Z,libflac-dev,A.1
https://github.com/ros/rosdistro/pull/47034,47034,Add missing nixos rosdep rules,2025-07-23T14:53:08Z,2025-07-24T04:50:19Z,"atlas, libfl-dev, libiio-dev, python3-attrs, python3-httpx, python3-marisa, python3-msgpack-numpy, python3-platformdirs, python3-pydub, python3-setproctitle, python3-soundfile, python3-unidecode, python3-wheel, sound-theme-freedesktop",A.2
https://github.com/ros/rosdistro/pull/47038,47038,add python3 redis,2025-07-24T01:55:24Z,2025-07-29T15:25:12Z,python3-redis,A.1
https://github.com/ros/rosdistro/pull/47089,47089,Add MuJoCo MJX entry,2025-07-28T08:28:10Z,2025-07-31T23:36:39Z,python3-mujoco-mjx-pip,A.1
https://github.com/ros/rosdistro/pull/47090,47090,adding python bleak,2025-07-28T11:33:45Z,2025-07-30T19:47:00Z,python3-bleak,A.1
https://github.com/ros/rosdistro/pull/47104,47104,Add 'lua-dev' rule for RHEL,2025-07-28T17:26:06Z,2025-07-29T15:36:58Z,lua-dev,A.2
https://github.com/ros/rosdistro/pull/47205,47205,Update libqt5-* rosdep keys for Ubuntu 24.04 (Noble) compatibility,2025-07-31T20:55:00Z,2025-07-31T23:36:05Z,"libqt5-gui, libqt5-widgets, libqt5-xml",B.1
https://github.com/ros/rosdistro/pull/47211,47211,Add sdformat versions on nixos,2025-08-04T07:01:49Z,2025-08-05T20:44:04Z,"sdformat11, sdformat12, sdformat13",A.2
