All Inconsistent Naming Entries
================================================================================

Total: 1331
Categories: affixation=1007, evolution=240, policy=526, unknown=0

ace | categories: affixation
libmlpack-dev | categories: affixation
libmnl-dev | categories: affixation
libmockito-java | categories: affixation
libmodbus-dev | categories: affixation
libmodbus5 | categories: evolution
libmongoc-1.0-0 | categories: policy
libmongoc-dev | categories: policy
libmongoclient-dev | categories: policy
libmotif-dev | categories: affixation,policy
libmp3lame-dev | categories: affixation,policy
libmpg123-dev | categories: affixation
libmpich-dev | categories: affixation
libmpich2-dev | categories: affixation
libmsgsl-dev | categories: affixation,policy
libmysql++-dev | categories: affixation
libmysql++3v5 | categories: policy
libmysqlclient-dev | categories: affixation,policy
libmysqlcppconn-dev | categories: affixation,policy
libnanoflann-dev | categories: affixation
libnanopb-dev | categories: affixation
libncurses | categories: evolution
libncurses-dev | categories: affixation
libneon27-gnutls-dev | categories: policy
libnl-dev | categories: affixation
libnlopt-cxx-dev | categories: affixation,policy
libnlopt-dev | categories: affixation
libnlopt0 | categories: evolution
libnotify | categories: affixation
libnss3-dev | categories: affixation,evolution
liboctomap-dev | categories: affixation
libogg | categories: affixation
libogre | categories: affixation,evolution,policy
libois-dev | categories: affixation
libomp-dev | categories: affixation,policy
libopal-dev | categories: affixation
libopenal-dev | categories: affixation,policy
libopenblas-dev | categories: affixation
libopencv-contrib-dev | categories: affixation
libopencv-dev | categories: affixation
libopencv-imgproc-dev | categories: affixation,policy
libopenexr-dev | categories: affixation
libopenni-dev | categories: affixation
libopenni-nite-dev | categories: affixation
libopenni-sensor-primesense-dev | categories: policy
libopenni2-dev | categories: affixation,evolution,policy
libopenvdb | categories: evolution
libopus-dev | categories: affixation
liborocos-bfl | categories: evolution
liborocos-bfl-dev | categories: affixation
liborocos-kdl | categories: affixation,evolution
liborocos-kdl-dev | categories: affixation
libosmesa6-dev | categories: policy
libpaho-mqtt | categories: evolution,policy
libpaho-mqtt-dev | categories: affixation,policy
libpaho-mqttpp | categories: policy
libpaho-mqttpp-dev | categories: policy
libpcap | categories: affixation,evolution
libpcl-all-dev | categories: affixation
libpcl-apps | categories: affixation,evolution,policy
libpcl-common | categories: affixation,evolution
libpcl-features | categories: affixation,evolution,policy
libpcl-filters | categories: affixation,evolution,policy
libpcl-io | categories: affixation,evolution,policy
libpcl-kdtree | categories: affixation,evolution,policy
libpcl-keypoints | categories: affixation,evolution,policy
libpcl-ml | categories: affixation,evolution,policy
libpcl-octree | categories: affixation,evolution,policy
libpcl-outofcore | categories: affixation,evolution,policy
libpcl-people | categories: affixation,evolution,policy
libpcl-recognition | categories: affixation,evolution,policy
libpcl-registration | categories: affixation,evolution,policy
libpcl-sample-consensus | categories: affixation,evolution,policy
libpcl-search | categories: affixation,evolution,policy
libpcl-segmentation | categories: affixation,evolution,policy
libpcl-stereo | categories: affixation,evolution,policy
libpcl-surface | categories: affixation,evolution,policy
libpcl-tracking | categories: affixation,evolution,policy
libpcl-visualization | categories: affixation,evolution,policy
libpcsclite-dev | categories: affixation,policy
libpcsclite1 | categories: evolution,policy
libphonon | categories: evolution
libphonon-dev | categories: affixation
libpng++-dev | categories: affixation,policy
libpng12-dev | categories: affixation,policy
libpoco-dev | categories: affixation
libpocofoundation9 | categories: policy
libpopt-dev | categories: affixation
libpq-dev | categories: affixation,policy
libpqxx | categories: evolution
libpqxx-dev | categories: affixation
libprocps-dev | categories: affixation,policy
libpt-dev | categories: affixation,policy
libpulse-dev | categories: affixation,policy
libqcustomplot-dev | categories: affixation
libqd-dev | categories: affixation
libqglviewer-dev-qt5 | categories: policy
libqglviewer-qt4 | categories: policy
libqglviewer-qt4-dev | categories: policy
libqglviewer2-qt5 | categories: evolution,policy
libqhull | categories: affixation
libqmi-glib-dev | categories: affixation,policy
libqrencode | categories: evolution
libqrencode-dev | categories: affixation
libqt4-dev | categories: affixation,evolution,policy
libqt4-opengl | categories: policy
libqt4-opengl-dev | categories: evolution,policy
libqt4-sql-psql | categories: policy
libqt5-charts-dev | categories: policy
libqt5-concurrent | categories: policy
libqt5-core | categories: evolution,policy
libqt5-gui | categories: affixation,evolution,policy
libqt5-multimedia | categories: policy
libqt5-network | categories: policy
libqt5-opengl | categories: affixation,policy
libqt5-opengl-dev | categories: evolution,policy
libqt5-printsupport | categories: policy
libqt5-qml | categories: policy
libqt5-quick | categories: policy
libqt5-serialport | categories: policy
libqt5-serialport-dev | categories: affixation,policy
libqt5-sql | categories: policy
