entry_name,platform1,platform2,jaccard_similarity,file_count1,file_count2,intersection,union
google-mock,debian_bookworm,fedora_43,0.0,3,50,0,53
google-mock,debian_bookworm,opensuse_15.2,0.0,3,41,0,44
google-mock,debian_bookworm,rhel_8,0.0,3,53,0,56
google-mock,debian_bookworm,rhel_9,0.0,3,46,0,49
google-mock,fedora_42,ubuntu_focal,0.0,50,3,0,53
google-mock,fedora_42,ubuntu_jammy,0.0,50,3,0,53
google-mock,fedora_42,ubuntu_noble,0.0,50,3,0,53
google-mock,fedora_43,ubuntu_focal,0.0,50,3,0,53
google-mock,fedora_43,ubuntu_jammy,0.0,50,3,0,53
google-mock,fedora_43,ubuntu_noble,0.0,50,3,0,53
google-mock,opensuse_15.2,ubuntu_focal,0.0,41,3,0,44
google-mock,opensuse_15.2,ubuntu_jammy,0.0,41,3,0,44
google-mock,opensuse_15.2,ubuntu_noble,0.0,41,3,0,44
google-mock,rhel_8,ubuntu_focal,0.0,53,3,0,56
google-mock,rhel_8,ubuntu_jammy,0.0,53,3,0,56
google-mock,rhel_8,ubuntu_noble,0.0,53,3,0,56
google-mock,rhel_9,ubuntu_focal,0.0,46,3,0,49
google-mock,rhel_9,ubuntu_jammy,0.0,46,3,0,49
google-mock,rhel_9,ubuntu_noble,0.0,46,3,0,49
gstreamer1.0-alsa,debian_bookworm,fedora_42,0.0,4,282,0,286
gstreamer1.0-alsa,debian_bookworm,fedora_43,0.0,4,282,0,286
gstreamer1.0-alsa,debian_bookworm,rhel_8,0.0,4,440,0,444
gstreamer1.0-alsa,debian_bookworm,rhel_9,0.0,4,266,0,270
gstreamer1.0-alsa,fedora_42,ubuntu_focal,0.0,282,7,0,289
gstreamer1.0-alsa,fedora_42,ubuntu_jammy,0.0,282,3,0,285
gstreamer1.0-alsa,fedora_42,ubuntu_noble,0.0,282,3,0,285
gstreamer1.0-alsa,fedora_43,ubuntu_focal,0.0,282,7,0,289
gstreamer1.0-alsa,fedora_43,ubuntu_jammy,0.0,282,3,0,285
gstreamer1.0-alsa,fedora_43,ubuntu_noble,0.0,282,3,0,285
gstreamer1.0-alsa,rhel_8,ubuntu_focal,0.0,440,7,0,447
gstreamer1.0-alsa,rhel_8,ubuntu_jammy,0.0,440,3,0,443
gstreamer1.0-alsa,rhel_8,ubuntu_noble,0.0,440,3,0,443
gstreamer1.0-alsa,rhel_9,ubuntu_focal,0.0,266,7,0,273
gstreamer1.0-alsa,rhel_9,ubuntu_jammy,0.0,266,3,0,269
gstreamer1.0-alsa,rhel_9,ubuntu_noble,0.0,266,3,0,269
gstreamer1.0-gl,arch,debian_bookworm,0.0,7,4,0,11
gstreamer1.0-gl,arch,ubuntu_focal,0.0,7,7,0,14
gstreamer1.0-gl,arch,ubuntu_jammy,0.0,7,3,0,10
gstreamer1.0-gl,arch,ubuntu_noble,0.0,7,3,0,10
gstreamer1.0-gl,debian_bookworm,fedora_42,0.0,4,282,0,286
gstreamer1.0-gl,debian_bookworm,fedora_43,0.0,4,282,0,286
gstreamer1.0-gl,debian_bookworm,rhel_8,0.0,4,440,0,444
gstreamer1.0-gl,debian_bookworm,rhel_9,0.0,4,266,0,270
gstreamer1.0-gl,fedora_42,ubuntu_focal,0.0,282,7,0,289
gstreamer1.0-gl,fedora_42,ubuntu_jammy,0.0,282,3,0,285
gstreamer1.0-gl,fedora_42,ubuntu_noble,0.0,282,3,0,285
gstreamer1.0-gl,fedora_43,ubuntu_focal,0.0,282,7,0,289
gstreamer1.0-gl,fedora_43,ubuntu_jammy,0.0,282,3,0,285
gstreamer1.0-gl,fedora_43,ubuntu_noble,0.0,282,3,0,285
