repo_name,repo_owner,title,pr_url,comments_count,state,author,created_at,closed_at,labels
rosdistro,ros,Adds unittest2,https://github.com/ros/rosdistro/pull/21680,3,merged,tgaspar,2019-07-03T19:11:17Z,2019-07-10T18:39:54Z,rosdep
rosdistro,ros,Add rule for python3-lttng,https://github.com/ros/rosdistro/pull/21613,0,merged,christophebedard,2019-06-25T12:50:00Z,2019-06-26T00:00:54Z,rosdep
rosdistro,ros,Adding boost-python rosdep key.,https://github.com/ros/rosdistro/pull/21570,4,merged,JWhitleyWork,2019-06-17T18:02:58Z,2019-06-26T23:02:33Z,rosdep
rosdistro,ros,add pugixml to base.yaml,https://github.com/ros/rosdistro/pull/21509,5,merged,mitsudome-r,2019-06-11T04:52:47Z,2019-06-20T13:25:18Z,rosdep
rosdistro,ros,add cupy to the rosdistro,https://github.com/ros/rosdistro/pull/21484,4,closed_without_merge,hakuturu583,2019-06-07T11:57:12Z,2019-07-16T12:55:11Z,rosdep
rosdistro,ros,Add RHEL rule for python3-catkin-pkg-modules,https://github.com/ros/rosdistro/pull/21462,0,merged,cottsay,2019-06-04T19:58:57Z,2019-06-06T16:02:01Z,rosdep
rosdistro,ros,Added geoalchemy2,https://github.com/ros/rosdistro/pull/21457,2,closed_without_merge,agyoungs,2019-06-04T17:37:26Z,2019-07-16T12:54:02Z,rosdep
rosdistro,ros,Update python.yaml - Add python vtk for bionic,https://github.com/ros/rosdistro/pull/21439,0,merged,reinzor,2019-06-03T12:00:21Z,2019-06-21T17:03:34Z,rosdep
rosdistro,ros,Add installation of librealsense2,https://github.com/ros/rosdistro/pull/21430,4,closed_without_merge,doronhi,2019-06-02T11:20:26Z,2019-06-16T03:45:26Z,rosdep
rosdistro,ros,Adding libompl-dev for MoveIt2,https://github.com/ros/rosdistro/pull/21414,0,closed_without_merge,mlautman,2019-05-30T21:59:57Z,2019-07-12T17:48:47Z,rosdep
rosdistro,ros,Update python.yaml,https://github.com/ros/rosdistro/pull/21378,1,closed_without_merge,fannibal,2019-05-29T14:14:46Z,2019-07-16T12:52:38Z,rosdep
rosdistro,ros,Add pyosmium,https://github.com/ros/rosdistro/pull/21343,3,closed_without_merge,grecim,2019-05-23T20:33:34Z,2019-06-21T13:29:17Z,rosdep
rosdistro,ros,Unclutter: Hits mouse cursor when idle,https://github.com/ros/rosdistro/pull/21335,2,merged,Vuwij,2019-05-23T06:01:40Z,2019-05-29T11:54:01Z,rosdep
rosdistro,ros,Add boost-python3-devel 'boost' rule for Fedora,https://github.com/ros/rosdistro/pull/21333,0,merged,cottsay,2019-05-22T17:25:39Z,2019-06-26T16:52:06Z,rosdep
rosdistro,ros,Add autograd-pip to Python,https://github.com/ros/rosdistro/pull/21332,1,merged,wxmerkt,2019-05-22T16:38:58Z,2019-05-28T18:09:02Z,rosdep
rosdistro,ros,Define which sources are valid for rosdep keys,https://github.com/ros/rosdistro/pull/21252,7,merged,tfoote,2019-05-17T01:32:41Z,2019-07-09T20:09:41Z,rosdep
rosdistro,ros,add libqt5multimedia5-plugins,https://github.com/ros/rosdistro/pull/21244,7,merged,fmessmer,2019-05-16T13:12:15Z,2019-05-17T16:00:13Z,rosdep
rosdistro,ros,[dep] Add pymodbustcp.,https://github.com/ros/rosdistro/pull/21239,2,merged,130s,2019-05-15T23:54:17Z,2019-05-28T12:35:21Z,rosdep
rosdistro,ros,Add pymavlink package definition for Debian,https://github.com/ros/rosdistro/pull/21235,1,merged,sfalexrog,2019-05-15T14:28:26Z,2019-05-15T16:58:50Z,rosdep
rosdistro,ros,Fix gfortran rule for Fedora,https://github.com/ros/rosdistro/pull/21229,0,merged,cottsay,2019-05-14T20:42:02Z,2019-05-15T14:08:13Z,rosdep
rosdistro,ros,Add pynput pip lib,https://github.com/ros/rosdistro/pull/21224,0,merged,vincentrou,2019-05-14T09:31:46Z,2019-05-15T14:18:32Z,rosdep
rosdistro,ros,Added some packages,https://github.com/ros/rosdistro/pull/21222,0,merged,Vuwij,2019-05-14T05:22:54Z,2019-05-15T14:19:45Z,rosdep
rosdistro,ros,Added uavcan-pip.,https://github.com/ros/rosdistro/pull/21219,1,merged,tonybaltovski,2019-05-13T14:01:44Z,2019-05-15T14:17:39Z,rosdep
rosdistro,ros,Include boost-python2-devel in boost dep for Fedora 29+,https://github.com/ros/rosdistro/pull/21216,0,merged,cottsay,2019-05-10T21:22:28Z,2019-05-15T16:01:26Z,rosdep
rosdistro,ros,Add zip lib,https://github.com/ros/rosdistro/pull/21210,0,merged,BMarchi,2019-05-10T13:41:57Z,2019-05-28T12:34:32Z,rosdep
rosdistro,ros,Add libavdevice-dev lib,https://github.com/ros/rosdistro/pull/21209,0,merged,BMarchi,2019-05-10T13:38:09Z,2019-05-28T22:53:32Z,rosdep
rosdistro,ros,Add libboost-filesystem-dev,https://github.com/ros/rosdistro/pull/21207,1,merged,BMarchi,2019-05-10T13:31:35Z,2019-06-04T08:04:37Z,rosdep
rosdistro,ros,Add libzip-dev lib,https://github.com/ros/rosdistro/pull/21206,0,merged,BMarchi,2019-05-10T13:23:45Z,2019-05-20T23:58:07Z,rosdep
rosdistro,ros,Add mesa-utils,https://github.com/ros/rosdistro/pull/21205,2,merged,BMarchi,2019-05-10T13:15:03Z,2019-05-28T22:51:16Z,rosdep
rosdistro,ros,Add pylint3,https://github.com/ros/rosdistro/pull/21204,0,merged,BMarchi,2019-05-10T13:11:41Z,2019-05-28T12:16:06Z,rosdep
rosdistro,ros,Add python-pycodestyle,https://github.com/ros/rosdistro/pull/21203,1,merged,BMarchi,2019-05-10T13:06:10Z,2019-05-17T17:27:41Z,rosdep
rosdistro,ros,Add python3-pycodestyle,https://github.com/ros/rosdistro/pull/21202,1,merged,BMarchi,2019-05-10T13:03:29Z,2019-05-17T17:28:31Z,rosdep
rosdistro,ros,Add ruby ronn,https://github.com/ros/rosdistro/pull/21201,5,merged,BMarchi,2019-05-10T13:02:57Z,2019-05-21T20:17:53Z,rosdep
rosdistro,ros,add carla Python API to the depends,https://github.com/ros/rosdistro/pull/21105,1,merged,hakuturu583,2019-05-07T02:39:51Z,2019-05-14T18:18:01Z,rosdep
rosdistro,ros,Add libmodbus5 to base.yaml,https://github.com/ros/rosdistro/pull/21104,2,merged,yotabits,2019-05-07T01:15:16Z,2019-05-08T23:38:50Z,rosdep
rosdistro,ros,alpine: add first round of ROS2 dependencies,https://github.com/ros/rosdistro/pull/21095,15,merged,russkel,2019-05-06T14:52:32Z,2019-05-17T01:34:16Z,rosdep
rosdistro,ros,[rosdep] qttools5-dev-tools,https://github.com/ros/rosdistro/pull/21034,0,merged,stonier,2019-04-26T15:46:23Z,2019-04-26T17:46:36Z,rosdep
rosdistro,ros,Add python-pycurl python rosdep,https://github.com/ros/rosdistro/pull/21024,1,merged,yotabits,2019-04-26T02:49:23Z,2019-04-30T08:44:22Z,rosdep
rosdistro,ros,Added python dependency to oyaml pip package,https://github.com/ros/rosdistro/pull/21020,2,merged,yotabits,2019-04-25T08:03:26Z,2019-04-26T02:57:33Z,rosdep
rosdistro,ros,Added UC Berkeley AUTOLAB dependencies to python.yaml,https://github.com/ros/rosdistro/pull/20999,1,merged,visatish,2019-04-23T04:04:00Z,2019-04-23T19:17:34Z,rosdep
rosdistro,ros,Add potrace to rosdistro,https://github.com/ros/rosdistro/pull/20998,0,merged,mvollrath,2019-04-23T01:56:15Z,2019-04-24T07:05:20Z,rosdep
rosdistro,ros,Add gperf ,https://github.com/ros/rosdistro/pull/20955,2,merged,iluetkeb,2019-04-18T07:25:43Z,2019-04-25T00:31:26Z,rosdep
rosdistro,ros,make python-tk more symmetric on fedora,https://github.com/ros/rosdistro/pull/20946,0,merged,tfoote,2019-04-16T21:24:39Z,2019-04-16T23:26:38Z,rosdep
rosdistro,ros,Add python3-tk rosdep key,https://github.com/ros/rosdistro/pull/20944,0,merged,tfoote,2019-04-16T05:31:30Z,2019-04-16T21:22:41Z,rosdep
rosdistro,ros,rosdep/python: add python-bitarray,https://github.com/ros/rosdistro/pull/20788,1,merged,mgruhler,2019-04-03T12:48:37Z,2019-04-08T18:59:43Z,rosdep
rosdistro,ros,Add frozendict,https://github.com/ros/rosdistro/pull/20781,2,merged,DaikiMaekawa,2019-04-02T09:14:13Z,2019-04-03T20:37:47Z,rosdep
rosdistro,ros,Python3-pip,https://github.com/ros/rosdistro/pull/20779,2,merged,Vuwij,2019-04-01T06:43:21Z,2019-04-03T20:39:08Z,rosdep
rosdistro,ros,Initial OpenEmbedded support for rosdistro,https://github.com/ros/rosdistro/pull/20763,6,merged,andre-rosa,2019-03-30T18:59:23Z,2019-05-02T20:30:14Z,rosdep
rosdistro,ros,Add qtdeclarative5-controls-plugin,https://github.com/ros/rosdistro/pull/20747,1,closed_without_merge,furushchev,2019-03-29T02:09:07Z,2019-05-28T12:12:20Z,rosdep
rosdistro,ros,add lark-parser for debian via pip,https://github.com/ros/rosdistro/pull/20666,6,closed_without_merge,christianrauch,2019-03-23T01:30:45Z,2019-09-13T18:07:19Z,rosdep
rosdistro,ros,Modernized libflann ubuntu rule.,https://github.com/ros/rosdistro/pull/20643,1,merged,peci1,2019-03-20T13:38:32Z,2019-03-25T14:44:34Z,rosdep
rosdistro,ros,update python-selenium-pip,https://github.com/ros/rosdistro/pull/20642,0,merged,k-okada,2019-03-20T11:05:11Z,2019-03-26T01:10:29Z,rosdep
rosdistro,ros,rosdep: add python-typing,https://github.com/ros/rosdistro/pull/20608,1,merged,peci1,2019-03-19T15:11:12Z,2019-03-19T19:26:50Z,rosdep
rosdistro,ros,Entry for boost-program-options and boost-random,https://github.com/ros/rosdistro/pull/20590,2,merged,norro,2019-03-18T13:58:51Z,2019-04-02T13:51:07Z,rosdep
