entry_key,type,entry,missing_type,platform,version,package_name,expected_package,detected_package,os_platform,os_version,os_package,current_manager,suggested_platform,suggested_version,suggested_package,description,status
autograd-pip,B.2,autograd-pip,,,,,,,,,,pip,fedora,41,python3-autograd,Entry 'autograd-pip' using pip but package 'python3-autograd' available in fedora 41,ok
autolab-core-pip,,autolab-core-pip,,,,,,,,,,,,,,,no_issues
autolab-perception-pip,,autolab-perception-pip,,,,,,,,,,,,,,,no_issues
autolab-visualization-pip,,autolab-visualization-pip,,,,,,,,,,,,,,,no_issues
automake,A.2,automake,platform,alpine,edge,,,,,,,,,,automake,Entry 'automake' missing version 'edge' for platform 'alpine'; suggested package: 'automake',ok
autopoint,A.2,autopoint,platform,alpine,edge,,,,,,,,,,gettext,Entry 'autopoint' missing version 'edge' for platform 'alpine'; suggested package: 'gettext',ok
autopoint,A.2,autopoint,platform,opensuse,15.2,,,,,,,,,,gettext-tools,Entry 'autopoint' missing version '15.2' for platform 'opensuse'; suggested package: 'gettext-tools',ok
autopoint,A.2,autopoint,platform,nixos,unstable,,,,,,,,,,gettext,Entry 'autopoint' missing version 'unstable' for platform 'nixos'; suggested package: 'gettext',ok
autopoint,A.2,autopoint,platform,rhel,8,,,,,,,,,,gettext-common-devel,Entry 'autopoint' missing version '8' for platform 'rhel'; suggested package: 'gettext-common-devel',ok
autopoint,A.2,autopoint,platform,rhel,9,,,,,,,,,,gettext-common-devel,Entry 'autopoint' missing version '9' for platform 'rhel'; suggested package: 'gettext-common-devel',ok
autopoint,B.1b,autopoint,,fedora,41,gettext-devel,gettext-common-devel,,,,,,,,,Package 'gettext-devel' differs from expected 'gettext-common-devel' in fedora 41,ok
autopoint,B.1b,autopoint,,fedora,42,gettext-devel,gettext-common-devel,,,,,,,,,Package 'gettext-devel' differs from expected 'gettext-common-devel' in fedora 42,ok
autossh,A.2,autossh,platform,alpine,edge,,,,,,,,,,autossh,Entry 'autossh' missing version 'edge' for platform 'alpine'; suggested package: 'autossh',ok
avahi-daemon,A.2,avahi-daemon,platform,alpine,edge,,,,,,,,,,avahi,Entry 'avahi-daemon' missing version 'edge' for platform 'alpine'; suggested package: 'avahi',ok
avahi-daemon,A.2,avahi-daemon,platform,opensuse,15.2,,,,,,,,,,avahi,Entry 'avahi-daemon' missing version '15.2' for platform 'opensuse'; suggested package: 'avahi',ok
avahi-daemon,A.2,avahi-daemon,platform,rhel,8,,,,,,,,,,avahi,Entry 'avahi-daemon' missing version '8' for platform 'rhel'; suggested package: 'avahi',ok
avahi-daemon,A.2,avahi-daemon,platform,rhel,9,,,,,,,,,,avahi,Entry 'avahi-daemon' missing version '9' for platform 'rhel'; suggested package: 'avahi',ok
avahi-utils,A.2,avahi-utils,platform,alpine,edge,,,,,,,,,,avahi-tools,Entry 'avahi-utils' missing version 'edge' for platform 'alpine'; suggested package: 'avahi-tools',ok
avahi-utils,A.2,avahi-utils,platform,opensuse,15.2,,,,,,,,,,avahi-utils,Entry 'avahi-utils' missing version '15.2' for platform 'opensuse'; suggested package: 'avahi-utils',ok
avahi-utils,A.2,avahi-utils,platform,rhel,8,,,,,,,,,,avahi-tools,Entry 'avahi-utils' missing version '8' for platform 'rhel'; suggested package: 'avahi-tools',ok
avahi-utils,A.2,avahi-utils,platform,rhel,9,,,,,,,,,,avahi-tools,Entry 'avahi-utils' missing version '9' for platform 'rhel'; suggested package: 'avahi-tools',ok
avr-libc,A.2,avr-libc,platform,alpine,edge,,,,,,,,,,avr-libc,Entry 'avr-libc' missing version 'edge' for platform 'alpine'; suggested package: 'avr-libc',ok
